handle,text,created_at,like_count,retweet_count
jimcramer,Retail investors should not chase meme stocks.,2024-05-15 13:30:00+00:00,7900,2000
federalreserve,Beige Book: economic activity expanded modestly.,2024-05-16 19:00:00+00:00,5800,2100
elonmusk,Optimus robot demo impressed investors. Long term TAM is huge.,2024-05-20 21:30:00+00:00,67000,19500
JeromePowell,Policy is in restrictive territory and working as intended.,2024-05-22 19:00:00+00:00,10800,4000
chamath,Software consolidation wave coming. M&A picks will outperform.,2024-05-23 16:00:00+00:00,9900,2900
federalreserve,FOMC dot plot signals one or two cuts in 2024.,2024-06-11 19:00:00+00:00,16500,6100
RayDalio,Portfolio balance across inflation and deflation scenarios remains key.,2024-06-12 12:00:00+00:00,13100,4200
elonmusk,Full self driving supervised mode expanding to more cities.,2024-06-13 22:00:00+00:00,70000,20500
JeromePowell,We have made meaningful progress on inflation without severe job losses.,2024-06-17 18:30:00+00:00,13000,4900
POTUS,Economic agenda delivering results for middle class families.,2024-06-19 16:30:00+00:00,24000,7700
jimcramer,Summer rally is real. Don't sit in cash waiting for a crash.,2024-06-20 13:00:00+00:00,9100,2400
chamath,AI capex cycle peak may be near. Watch hyperscaler guidance.,2024-06-21 16:30:00+00:00,10800,3200
RayDalio,Geopolitical risks add oil price volatility premium.,2024-06-25 11:00:00+00:00,14500,4800
elonmusk,Energy storage deployments hit record quarter.,2024-06-26 21:00:00+00:00,63000,18200
JeromePowell,Rate cut timing depends on continued confidence inflation is moving to target.,2024-06-27 19:00:00+00:00,14000,5300
tim_cook,Back to school season looking strong for Mac and iPad.,2024-06-28 14:30:00+00:00,19800,5700
